Medu,Fedu,studytime,G1,G2,G3,promedio,conclusion
1,1,4,13,13,13,13.0,1
4,3,1,9,11,11,10.333333333333334,1
2,1,2,13,12,12,12.333333333333334,1
4,4,1,12,13,13,12.666666666666666,1
4,3,3,12,13,13,12.666666666666666,1
4,4,1,9,9,8,8.666666666666666,0
4,4,3,16,16,16,16.0,2
4,4,1,12,13,12,12.333333333333334,1
3,2,2,11,10,10,10.333333333333334,1
3,4,2,16,16,16,16.0,2
3,3,4,10,10,10,10.0,1
2,2,4,10,10,10,10.0,1
3,3,3,13,14,14,13.666666666666666,2
4,4,4,12,10,11,11.0,1
4,4,3,15,15,14,14.666666666666666,2
4,4,1,13,14,14,13.666666666666666,2
3,3,3,11,11,11,11.0,1
2,2,2,8,10,10,9.333333333333334,0
4,2,1,18,17,18,17.666666666666668,2
2,1,2,10,9,10,9.666666666666666,0
4,4,2,16,14,14,14.666666666666666,2
4,4,2,16,15,16,15.666666666666666,2
3,3,1,14,14,15,14.333333333333334,2
1,3,2,12,11,11,11.333333333333334,1
3,4,1,14,13,14,13.666666666666666,2
1,2,2,14,14,14,14.0,2
2,2,4,14,13,13,13.333333333333334,2
2,4,2,14,12,13,13.0,1
4,4,1,12,13,13,12.666666666666666,1
2,2,2,12,11,11,11.333333333333334,1
3,4,1,9,9,9,9.0,0
3,4,2,10,11,11,10.666666666666666,1
0,1,2,9,10,11,10.0,1
4,4,1,14,14,15,14.333333333333334,2
2,3,3,13,12,13,12.666666666666666,1
3,4,3,10,11,12,11.0,1
2,1,2,10,9,8,9.0,0
2,1,1,11,10,11,10.666666666666666,1
1,1,1,11,12,13,12.0,1
2,2,1,13,12,12,12.333333333333334,1
3,4,1,15,13,14,14.0,2
2,1,1,9,9,11,9.666666666666666,0
2,2,1,13,11,11,11.666666666666666,1
3,4,2,12,11,11,11.333333333333334,1
4,4,3,13,14,15,14.0,2
3,4,2,10,9,10,9.666666666666666,0
1,1,2,14,13,13,13.333333333333334,2
3,1,1,11,11,12,11.333333333333334,1
3,2,3,12,11,11,11.333333333333334,1
1,1,1,12,11,11,11.333333333333334,1
3,3,1,9,9,10,9.333333333333334,0
1,1,2,10,10,10,10.0,1
4,4,1,13,14,14,13.666666666666666,2
1,1,1,8,9,9,8.666666666666666,0
4,3,4,9,11,11,10.333333333333334,1
3,3,2,9,8,9,8.666666666666666,0
4,4,3,15,13,13,13.666666666666666,2
2,2,1,12,11,11,11.333333333333334,1
4,4,3,13,13,13,13.0,1
1,1,1,10,11,11,10.666666666666666,1
2,1,1,9,7,6,7.333333333333333,0
1,1,2,12,12,12,12.0,1
2,1,1,11,10,10,10.333333333333334,1
3,2,2,11,11,11,11.0,1
1,2,2,13,12,13,12.666666666666666,1
1,2,2,11,11,11,11.0,1
4,4,1,9,9,8,8.666666666666666,0
2,1,1,12,11,11,11.333333333333334,1
1,1,1,11,9,0,6.666666666666667,0
2,1,1,9,10,10,9.666666666666666,0
3,3,3,13,13,13,13.0,1
3,2,1,11,9,11,10.333333333333334,1
4,4,1,13,13,13,13.0,1
2,3,2,7,8,8,7.666666666666667,0
1,2,1,9,8,10,9.0,0
1,1,1,11,10,11,10.666666666666666,1
2,2,1,12,10,11,11.0,1
3,3,2,10,10,1,7.0,0
1,2,1,9,8,10,9.0,0
2,1,1,8,8,9,8.333333333333334,0
3,2,2,7,6,8,7.0,0
1,2,1,8,9,10,9.0,0
1,3,1,9,8,8,8.333333333333334,0
1,1,2,8,8,8,8.0,0
3,2,1,8,7,8,7.666666666666667,0
2,2,2,9,10,11,10.0,1
4,2,2,17,17,18,17.333333333333332,2
2,2,2,12,12,13,12.333333333333334,1
4,4,2,16,16,17,16.333333333333332,2
3,4,1,9,9,10,9.333333333333334,0
1,0,2,16,17,18,17.0,2
4,4,2,11,9,10,10.0,1
1,3,2,14,13,13,13.333333333333334,2
3,3,2,14,14,15,14.333333333333334,2
4,3,2,10,11,11,10.666666666666666,1
2,2,2,13,12,14,13.0,1
3,3,2,11,9,10,10.0,1
4,2,1,10,9,11,10.0,1
4,3,2,11,11,13,11.666666666666666,1
4,3,2,11,10,11,10.666666666666666,1
3,3,2,11,12,13,12.0,1
2,4,2,17,18,17,17.333333333333332,2
3,3,2,14,13,14,13.666666666666666,2
3,2,2,14,15,16,15.0,2
3,3,2,11,13,14,12.666666666666666,1
1,2,1,10,9,11,10.0,1
2,1,2,13,14,16,14.333333333333334,2
3,3,2,12,13,14,13.0,1
1,2,2,9,9,10,9.333333333333334,0
2,3,2,12,12,13,12.333333333333334,1
1,1,2,12,11,12,11.666666666666666,1
1,2,2,10,11,12,11.0,1
3,3,1,11,10,10,10.333333333333334,1
2,3,1,13,12,12,12.333333333333334,1
2,4,2,14,15,16,15.0,2
4,4,1,13,13,14,13.333333333333334,2
3,3,1,10,11,12,11.0,1
4,4,1,14,15,16,15.0,2
4,4,2,11,10,11,10.666666666666666,1
4,3,2,14,14,15,14.333333333333334,2
2,3,2,11,12,12,11.666666666666666,1
1,1,2,14,15,15,14.666666666666666,2
2,2,1,13,13,13,13.0,1
2,2,4,13,13,13,13.0,1
3,4,3,8,9,8,8.333333333333334,0
3,1,2,11,11,12,11.333333333333334,1
4,3,2,14,15,15,14.666666666666666,2
1,1,1,12,13,13,12.666666666666666,1
4,3,3,11,12,12,11.666666666666666,1
3,3,4,12,12,12,12.0,1
4,4,2,13,12,12,12.333333333333334,1
2,2,2,13,13,13,13.0,1
2,2,2,12,11,11,11.333333333333334,1
4,4,1,12,11,11,11.333333333333334,1
3,2,2,14,16,15,15.0,2
4,3,2,11,9,10,10.0,1
3,3,2,10,10,10,10.0,1
2,3,1,12,13,13,12.666666666666666,1
2,2,3,12,12,13,12.333333333333334,1
2,1,2,11,10,11,10.666666666666666,1
1,1,3,12,12,12,12.0,1
2,3,2,13,13,14,13.333333333333334,2
2,2,2,10,9,10,9.666666666666666,0
4,4,3,15,16,16,15.666666666666666,2
3,1,2,8,8,8,8.0,0
3,2,2,17,18,17,17.333333333333332,2
2,3,2,10,11,11,10.666666666666666,1
2,1,2,9,10,11,10.0,1
2,1,3,15,15,16,15.333333333333334,2
4,3,2,14,12,12,12.666666666666666,1
2,2,2,12,13,13,12.666666666666666,1
4,4,2,13,13,13,13.0,1
4,4,2,13,13,14,13.333333333333334,2
1,1,2,9,9,9,9.0,0
3,2,3,12,12,12,12.0,1
2,2,2,16,16,16,16.0,2
2,1,1,9,10,10,9.666666666666666,0
4,1,2,14,13,13,13.333333333333334,2
2,4,2,10,10,10,10.0,1
2,2,2,9,8,10,9.0,0
3,3,1,8,7,7,7.333333333333333,0
2,2,1,7,8,8,7.666666666666667,0
4,4,1,10,8,9,9.0,0
3,2,2,14,14,15,14.333333333333334,2
1,1,3,11,10,10,10.333333333333334,1
1,2,1,12,11,11,11.333333333333334,1
2,1,2,13,13,13,13.0,1
1,4,1,9,9,8,8.666666666666666,0
2,2,2,8,7,8,7.666666666666667,0
2,2,1,11,9,10,10.0,1
1,1,3,15,14,15,14.666666666666666,2
4,2,2,15,14,14,14.333333333333334,2
4,3,2,15,15,15,15.0,2
4,4,2,12,12,12,12.0,1
4,3,1,14,14,15,14.333333333333334,2
4,4,1,14,15,15,14.666666666666666,2
4,4,2,11,11,12,11.333333333333334,1
1,1,3,13,14,15,14.0,2
3,3,3,11,11,11,11.0,1
1,1,2,10,9,10,9.666666666666666,0
2,1,3,12,10,11,11.0,1
2,1,1,15,16,16,15.666666666666666,2
1,1,2,11,10,11,10.666666666666666,1
2,3,1,9,12,13,11.333333333333334,1
3,1,1,7,8,5,6.666666666666667,0
3,3,2,10,9,10,9.666666666666666,0
0,2,1,11,12,11,11.333333333333334,1
3,2,1,7,8,7,7.333333333333333,0
3,3,2,9,11,10,10.0,1
2,1,1,7,8,6,7.0,0
2,1,1,14,13,12,13.0,1
2,1,1,12,12,13,12.333333333333334,1
1,1,1,9,10,10,9.666666666666666,0
2,1,2,12,12,13,12.333333333333334,1
4,2,4,14,15,17,15.333333333333334,2
2,2,2,10,10,11,10.333333333333334,1
2,1,2,11,10,11,10.666666666666666,1
4,2,3,11,12,14,12.333333333333334,1
1,1,3,11,12,14,12.333333333333334,1
2,2,2,11,11,13,11.666666666666666,1
4,3,2,11,13,14,12.666666666666666,1
2,1,2,16,16,16,16.0,2
2,2,1,9,10,10,9.666666666666666,0
2,2,4,10,11,12,11.0,1
2,1,2,10,12,12,11.333333333333334,1
4,3,2,15,15,15,15.0,2
4,3,2,10,10,11,10.333333333333334,1
3,2,3,10,11,12,11.0,1
3,3,3,15,12,13,13.333333333333334,2
2,2,3,11,12,13,12.0,1
2,2,1,8,8,9,8.333333333333334,0
3,4,2,15,16,16,15.666666666666666,2
3,1,2,11,11,14,12.0,1
4,4,2,10,11,12,11.0,1
4,2,2,10,12,14,12.0,1
2,1,2,8,9,10,9.0,0
3,3,2,11,12,12,11.666666666666666,1
2,3,4,16,16,16,16.0,2
1,1,2,13,13,13,13.0,1
1,2,2,16,17,18,17.0,2
2,1,2,14,14,15,14.333333333333334,2
2,4,2,15,16,16,15.666666666666666,2
2,2,2,12,12,12,12.0,1
3,2,2,12,9,10,10.333333333333334,1
4,4,1,11,12,12,11.666666666666666,1
4,4,2,14,12,13,13.0,1
2,2,3,13,15,15,14.333333333333334,2
3,2,2,9,8,10,9.0,0
4,3,1,10,10,10,10.0,1
1,2,1,10,10,11,10.333333333333334,1
4,1,1,11,11,10,10.666666666666666,1
3,2,1,13,13,13,13.0,1
1,1,4,17,17,18,17.333333333333332,2
1,1,2,12,13,13,12.666666666666666,1
2,2,2,12,12,14,12.666666666666666,1
2,1,2,12,13,14,13.0,1
1,1,2,12,12,12,12.0,1
2,2,3,18,18,18,18.0,2
1,1,3,13,13,14,13.333333333333334,2
2,1,3,14,15,15,14.666666666666666,2
4,4,2,17,17,17,17.0,2
4,2,2,15,16,16,15.666666666666666,2
4,3,3,17,18,18,17.666666666666668,2
3,1,4,18,19,19,18.666666666666668,2
3,2,3,14,15,15,14.666666666666666,2
3,3,1,14,15,15,14.666666666666666,2
4,4,2,14,13,13,13.333333333333334,2
4,3,2,13,14,14,13.666666666666666,2
4,3,4,16,17,17,16.666666666666668,2
4,4,1,18,18,17,17.666666666666668,2
4,4,2,14,15,15,14.666666666666666,2
4,4,1,12,13,13,12.666666666666666,1
4,4,3,7,7,8,7.333333333333333,0
4,2,3,16,16,16,16.0,2
3,2,4,18,18,18,18.0,2
2,1,3,9,10,11,10.0,1
3,2,1,14,15,15,14.666666666666666,2
3,3,2,10,10,11,10.333333333333334,1
1,4,2,10,10,11,10.333333333333334,1
2,1,2,12,12,15,13.0,1
2,3,2,11,12,14,12.333333333333334,1
4,4,1,15,16,17,16.0,2
4,3,3,14,15,17,15.333333333333334,2
4,3,1,12,12,15,13.0,1
3,4,3,15,15,17,15.666666666666666,2
3,3,2,11,12,14,12.333333333333334,1
4,2,2,11,10,10,10.333333333333334,1
4,4,2,12,11,13,12.0,1
3,4,1,11,12,14,12.333333333333334,1
4,4,1,14,15,17,15.333333333333334,2
4,3,2,15,14,17,15.333333333333334,2
3,3,2,12,12,13,12.333333333333334,1
2,1,2,11,12,14,12.333333333333334,1
4,4,1,8,9,11,9.333333333333334,0
1,1,3,10,10,11,10.333333333333334,1
1,1,2,8,8,9,8.333333333333334,0
2,2,1,10,10,10,10.0,1
2,2,2,14,13,13,13.333333333333334,2
2,2,3,11,11,10,10.666666666666666,1
3,1,3,17,18,17,17.333333333333332,2
0,2,3,14,14,15,14.333333333333334,2
1,1,3,14,14,14,14.0,2
4,4,3,13,14,13,13.333333333333334,2
3,3,1,17,18,17,17.333333333333332,2
2,2,1,11,10,10,10.333333333333334,1
4,4,3,13,12,13,12.666666666666666,1
4,4,3,15,14,15,14.666666666666666,2
3,3,1,11,12,11,11.333333333333334,1
2,2,4,11,11,12,11.333333333333334,1
3,2,1,11,10,10,10.333333333333334,1
2,2,2,10,9,10,9.666666666666666,0
2,4,3,15,15,15,15.0,2
2,2,1,15,14,15,14.666666666666666,2
3,3,2,10,11,12,11.0,1
2,2,2,10,9,12,10.333333333333334,1
2,2,4,14,13,14,13.666666666666666,2
3,4,3,11,13,14,12.666666666666666,1
3,2,2,12,13,15,13.333333333333334,2
3,3,4,14,14,15,14.333333333333334,2
3,2,2,14,14,16,14.666666666666666,2
4,4,2,12,12,13,12.333333333333334,1
3,4,2,16,16,17,16.333333333333332,2
2,2,2,10,12,14,12.0,1
2,3,3,11,12,14,12.333333333333334,1
3,2,3,14,16,17,15.666666666666666,2
4,3,3,15,14,17,15.333333333333334,2
4,3,3,14,13,14,13.666666666666666,2
4,3,3,11,12,13,12.0,1
2,1,2,12,15,15,14.0,2
2,1,2,12,16,16,14.666666666666666,2
2,3,1,10,11,11,10.666666666666666,1
3,1,1,10,13,13,12.0,1
4,4,3,9,12,12,11.0,1
2,2,2,9,11,12,10.666666666666666,1
3,4,2,13,14,15,14.0,2
2,2,2,13,17,17,15.666666666666666,2
4,4,3,12,15,15,14.0,2
4,2,2,14,17,17,16.0,2
1,1,2,9,10,10,9.666666666666666,0
1,1,3,11,15,15,13.666666666666666,2
4,4,1,9,10,11,10.0,1
3,2,2,16,18,18,17.333333333333332,2
3,2,3,14,17,17,16.0,2
2,3,1,13,14,14,13.666666666666666,2
2,1,1,7,11,11,9.666666666666666,0
2,2,2,14,17,17,16.0,2
1,0,1,8,10,10,9.333333333333334,0
3,2,2,10,13,13,12.0,1
1,3,1,10,11,11,10.666666666666666,1
2,2,2,12,12,12,12.0,1
1,1,1,10,10,10,10.0,1
3,3,1,10,10,11,10.333333333333334,1
2,3,2,16,17,17,16.666666666666668,2
2,1,1,6,8,9,7.666666666666667,0
4,4,2,10,11,11,10.666666666666666,1
1,2,3,10,11,11,10.666666666666666,1
3,2,2,10,10,10,10.0,1
1,1,1,6,6,7,6.333333333333333,0
4,4,1,13,14,14,13.666666666666666,2
2,2,4,10,9,11,10.0,1
1,1,2,10,10,10,10.0,1
1,1,1,6,7,8,7.0,0
0,2,1,12,11,12,11.666666666666666,1
2,3,1,10,11,12,11.0,1
3,3,1,14,16,16,15.333333333333334,2
1,1,2,7,0,0,2.3333333333333335,0
1,1,2,8,9,9,8.666666666666666,0
4,1,2,12,13,14,13.0,1
4,1,2,7,9,8,8.0,0
3,4,2,9,10,11,10.0,1
1,1,2,7,9,9,8.333333333333334,0
3,3,2,11,11,11,11.0,1
2,1,1,8,10,9,9.0,0
4,4,3,16,16,17,16.333333333333332,2
1,2,1,11,13,13,12.333333333333334,1
2,3,2,15,15,15,15.0,2
1,2,2,10,11,11,10.666666666666666,1
2,2,2,9,10,11,10.0,1
1,2,3,10,8,8,8.666666666666666,0
1,2,3,9,8,8,8.333333333333334,0
2,1,2,9,10,9,9.333333333333334,0
1,1,2,13,14,15,14.0,2
1,2,1,10,11,11,10.666666666666666,1
1,1,4,13,10,13,12.0,1
1,1,3,10,9,10,9.666666666666666,0
1,1,2,11,10,11,10.666666666666666,1
1,1,1,13,12,14,13.0,1
1,1,2,13,14,14,13.666666666666666,2
2,2,3,14,11,12,12.333333333333334,1
1,1,1,11,11,11,11.0,1
1,2,2,9,8,8,8.333333333333334,0
3,1,1,10,9,11,10.0,1
2,2,2,14,13,14,13.666666666666666,2
2,2,1,13,12,13,12.666666666666666,1
4,4,2,13,12,13,12.666666666666666,1
3,3,2,13,12,12,12.333333333333334,1
2,2,2,12,11,12,11.666666666666666,1
2,2,1,14,14,16,14.666666666666666,2
2,1,1,10,8,10,9.333333333333334,0
1,3,1,10,11,11,10.666666666666666,1
2,2,3,12,13,14,13.0,1
2,1,1,10,8,8,8.666666666666666,0
3,3,1,12,10,11,11.0,1
1,1,2,7,7,8,7.333333333333333,0
2,2,1,9,9,10,9.333333333333334,0
2,3,1,9,9,10,9.333333333333334,0
2,1,1,9,10,11,10.0,1
1,1,1,9,10,9,9.333333333333334,0
2,2,2,9,10,11,10.0,1
2,2,1,7,7,8,7.333333333333333,0
2,2,2,11,10,11,10.666666666666666,1
2,2,1,9,10,10,9.666666666666666,0
3,2,3,7,9,10,8.666666666666666,0
1,1,3,7,9,9,8.333333333333334,0
1,1,1,8,9,10,9.0,0
1,1,1,9,11,10,10.0,1
1,1,2,7,8,9,8.0,0
2,2,2,8,10,10,9.333333333333334,0
0,1,1,9,9,10,9.333333333333334,0
1,2,2,8,9,9,8.666666666666666,0
3,3,1,14,13,13,13.333333333333334,2
1,1,1,14,14,14,14.0,2
3,3,4,10,11,10,10.333333333333334,1
2,1,2,14,13,14,13.666666666666666,2
2,2,1,17,16,16,16.333333333333332,2
1,2,1,6,7,7,6.666666666666667,0
4,3,1,14,12,13,13.0,1
2,2,4,10,8,9,9.0,0
1,1,4,14,14,14,14.0,2
2,2,3,12,13,13,12.666666666666666,1
1,1,1,11,11,11,11.0,1
3,3,2,11,9,10,10.0,1
1,1,3,11,11,10,10.666666666666666,1
2,2,1,10,9,9,9.333333333333334,0
1,1,2,16,17,18,17.0,2
2,2,2,15,17,17,16.333333333333332,2
1,0,2,11,9,10,10.0,1
1,1,2,7,7,7,7.0,0
3,1,1,8,6,8,7.333333333333333,0
3,2,1,7,6,7,6.666666666666667,0
1,1,2,9,8,10,9.0,0
4,4,2,14,16,16,15.333333333333334,2
1,2,1,14,14,15,14.333333333333334,2
2,4,2,8,5,8,7.0,0
2,1,2,8,7,0,5.0,0
1,1,2,6,8,8,7.333333333333333,0
2,3,2,8,10,10,9.333333333333334,0
4,4,2,8,8,8,8.0,0
4,4,4,5,6,6,5.666666666666667,0
3,4,2,7,9,8,8.0,0
4,4,3,15,14,16,15.0,2
4,1,1,13,14,14,13.666666666666666,2
2,2,3,10,9,10,9.666666666666666,0
2,2,1,9,9,9,9.0,0
4,4,1,11,11,11,11.0,1
3,3,1,7,10,9,8.666666666666666,0
1,1,2,10,10,10,10.0,1
2,1,2,9,7,8,8.0,0
2,1,2,14,15,16,15.0,2
4,4,1,11,12,12,11.666666666666666,1
1,2,2,9,11,10,10.0,1
2,2,4,13,14,14,13.666666666666666,2
2,1,1,12,13,12,12.333333333333334,1
2,2,3,11,11,11,11.0,1
4,1,2,9,10,10,9.666666666666666,0
3,2,1,9,11,11,10.333333333333334,1
2,2,2,11,9,11,10.333333333333334,1
4,4,3,10,11,12,11.0,1
4,4,1,9,9,8,8.666666666666666,0
1,3,1,12,11,12,11.666666666666666,1
3,4,2,8,9,8,8.333333333333334,0
4,4,2,13,15,16,14.666666666666666,2
4,1,1,10,11,11,10.666666666666666,1
1,1,2,11,10,11,10.666666666666666,1
4,2,2,17,18,18,17.666666666666668,2
2,2,2,12,13,13,12.666666666666666,1
3,2,2,13,14,13,13.333333333333334,2
1,1,2,9,9,10,9.333333333333334,0
1,0,1,11,11,12,11.333333333333334,1
1,1,1,10,11,10,10.333333333333334,1
1,2,3,13,14,13,13.333333333333334,2
1,2,1,9,10,11,10.0,1
3,1,2,7,9,10,8.666666666666666,0
2,2,1,8,13,10,10.333333333333334,1
1,0,1,12,12,13,12.333333333333334,1
1,1,1,10,9,10,9.666666666666666,0
1,1,2,10,9,10,9.666666666666666,0
2,2,2,11,13,12,12.0,1
2,2,1,7,0,0,2.3333333333333335,0
3,2,1,11,9,10,10.0,1
1,1,1,10,10,9,9.666666666666666,0
1,1,1,9,7,9,8.333333333333334,0
3,2,1,4,0,0,1.3333333333333333,0
3,2,1,6,11,9,8.666666666666666,0
3,3,2,4,8,8,6.666666666666667,0
2,2,1,7,8,8,7.666666666666667,0
2,1,1,8,9,9,8.666666666666666,0
3,2,2,5,5,7,5.666666666666667,0
1,1,1,7,9,10,8.666666666666666,0
1,1,1,8,11,10,9.666666666666666,0
4,3,1,10,11,10,10.333333333333334,1
3,2,1,9,10,11,10.0,1
1,1,2,10,9,11,10.0,1
3,3,2,8,9,10,9.0,0
1,3,1,9,10,9,9.333333333333334,0
1,1,1,8,9,10,9.0,0
1,2,2,6,8,8,7.333333333333333,0
1,1,1,6,8,7,7.0,0
2,2,1,8,6,0,4.666666666666667,0
0,0,1,10,11,11,10.666666666666666,1
3,1,3,8,7,8,7.666666666666667,0
4,2,2,8,8,0,5.333333333333333,0
2,2,2,7,6,8,7.0,0
4,1,1,8,10,9,9.0,0
1,2,1,7,10,10,9.0,0
1,1,2,7,8,7,7.333333333333333,0
2,2,2,12,13,14,13.0,1
3,3,1,11,12,13,12.0,1
1,2,2,12,13,14,13.0,1
4,4,2,18,18,18,18.0,2
4,4,1,17,17,17,17.0,2
4,2,2,17,18,18,17.666666666666668,2
2,2,2,9,0,0,3.0,0
1,2,1,10,11,11,10.666666666666666,1
4,4,1,12,13,14,13.0,1
1,1,1,12,13,14,13.0,1
2,2,2,8,8,10,8.666666666666666,0
2,2,3,11,12,13,12.0,1
4,2,2,5,0,0,1.6666666666666667,0
1,1,2,9,10,10,9.666666666666666,0
1,1,1,5,0,0,1.6666666666666667,0
4,2,4,18,18,18,18.0,2
2,1,2,11,11,12,11.333333333333334,1
1,1,2,8,10,11,9.666666666666666,0
1,2,2,11,11,12,11.333333333333334,1
1,1,2,8,0,0,2.6666666666666665,0
2,2,3,14,14,15,14.333333333333334,2
4,3,2,10,11,11,10.666666666666666,1
3,3,2,10,10,10,10.0,1
4,4,2,12,12,12,12.0,1
3,2,2,15,14,15,14.666666666666666,2
1,1,1,14,13,14,13.666666666666666,2
1,1,3,19,17,18,18.0,2
1,2,2,16,15,15,15.333333333333334,2
3,3,2,13,12,13,12.666666666666666,1
4,4,2,15,14,15,14.666666666666666,2
1,2,2,13,13,13,13.0,1
1,3,2,8,10,9,9.0,0
4,4,3,15,16,16,15.666666666666666,2
1,1,1,8,8,9,8.333333333333334,0
2,3,1,10,10,10,10.0,1
4,4,2,7,5,0,4.0,0
1,2,1,9,10,10,9.666666666666666,0
2,2,3,10,11,12,11.0,1
1,2,1,7,8,9,8.0,0
4,4,3,15,17,17,16.333333333333332,2
1,1,3,10,11,12,11.0,1
1,1,2,7,8,9,8.0,0
4,4,2,13,14,14,13.666666666666666,2
3,3,2,16,16,16,16.0,2
3,1,2,8,9,9,8.666666666666666,0
4,4,2,17,18,19,18.0,2
2,1,1,7,7,0,4.666666666666667,0
2,3,2,14,15,16,15.0,2
1,1,1,5,8,0,4.333333333333333,0
4,2,1,7,7,0,4.666666666666667,0
2,2,3,14,17,15,15.333333333333334,2
4,3,2,6,9,11,8.666666666666666,0
4,4,1,7,9,10,8.666666666666666,0
2,3,3,10,11,10,10.333333333333334,1
3,1,2,15,15,16,15.333333333333334,2
1,1,2,11,12,9,10.666666666666666,1
3,1,1,10,10,10,10.0,1
3,2,1,10,11,11,10.666666666666666,1
